location_name,year_id,sex,age_group,mean,lower,upper,measure
China,2019,Male,0 to 19,20484459,15126752,27367443,Number of people with BLLs >5 ug/dL
China,2019,Female,0 to 19,10714717,7801585,14460260,Number of people with BLLs >5 ug/dL
Democratic People's Republic of Korea,2019,Male,0 to 19,2794012,1634381,3324744,Number of people with BLLs >5 ug/dL
Democratic People's Republic of Korea,2019,Female,0 to 19,2081073,865312,2989479,Number of people with BLLs >5 ug/dL
Taiwan (Province of China),2019,Male,0 to 19,28285,12071,62854,Number of people with BLLs >5 ug/dL
Taiwan (Province of China),2019,Female,0 to 19,10247,5009,20168,Number of people with BLLs >5 ug/dL
Cambodia,2019,Male,0 to 19,1886640,802359,2856721,Number of people with BLLs >5 ug/dL
Cambodia,2019,Female,0 to 19,1284619,375497,2317478,Number of people with BLLs >5 ug/dL
Indonesia,2019,Male,0 to 19,5314468,3517544,7643702,Number of people with BLLs >5 ug/dL
Indonesia,2019,Female,0 to 19,2957395,1969210,4355280,Number of people with BLLs >5 ug/dL
Lao People's Democratic Republic,2019,Male,0 to 19,338571,75876,801670,Number of people with BLLs >5 ug/dL
Lao People's Democratic Republic,2019,Female,0 to 19,239482,48749,631417,Number of people with BLLs >5 ug/dL
Malaysia,2019,Male,0 to 19,32026,13447,68835,Number of people with BLLs >5 ug/dL
Malaysia,2019,Female,0 to 19,24923,10873,53260,Number of people with BLLs >5 ug/dL
Maldives,2019,Male,0 to 19,4185,941,13226,Number of people with BLLs >5 ug/dL
Maldives,2019,Female,0 to 19,2325,626,7072,Number of people with BLLs >5 ug/dL
Myanmar,2019,Male,0 to 19,2864232,723241,6111841,Number of people with BLLs >5 ug/dL
Myanmar,2019,Female,0 to 19,1831545,388749,4680998,Number of people with BLLs >5 ug/dL
Philippines,2019,Male,0 to 19,13374579,5006349,20976023,Number of people with BLLs >5 ug/dL
Philippines,2019,Female,0 to 19,6649622,1764867,13795504,Number of people with BLLs >5 ug/dL
Sri Lanka,2019,Male,0 to 19,161180,38259,501700,Number of people with BLLs >5 ug/dL
Sri Lanka,2019,Female,0 to 19,76951,21718,236774,Number of people with BLLs >5 ug/dL
Thailand,2019,Male,0 to 19,89075,29227,213171,Number of people with BLLs >5 ug/dL
Thailand,2019,Female,0 to 19,39309,17292,91298,Number of people with BLLs >5 ug/dL
Timor-Leste,2019,Male,0 to 19,156629,51310,266711,Number of people with BLLs >5 ug/dL
Timor-Leste,2019,Female,0 to 19,117269,33170,222006,Number of people with BLLs >5 ug/dL
Viet Nam,2019,Male,0 to 19,2268608,491284,6087895,Number of people with BLLs >5 ug/dL
Viet Nam,2019,Female,0 to 19,973584,220078,2906015,Number of people with BLLs >5 ug/dL
Fiji,2019,Male,0 to 19,1146,466,2481,Number of people with BLLs >5 ug/dL
Fiji,2019,Female,0 to 19,1083,432,2443,Number of people with BLLs >5 ug/dL
Kiribati,2019,Male,0 to 19,7018,1881,14474,Number of people with BLLs >5 ug/dL
Kiribati,2019,Female,0 to 19,4368,955,10161,Number of people with BLLs >5 ug/dL
Marshall Islands,2019,Male,0 to 19,623,148,1841,Number of people with BLLs >5 ug/dL
Marshall Islands,2019,Female,0 to 19,517,121,1558,Number of people with BLLs >5 ug/dL
Micronesia (Federated States of),2019,Male,0 to 19,1480,350,4615,Number of people with BLLs >5 ug/dL
Micronesia (Federated States of),2019,Female,0 to 19,828,197,2510,Number of people with BLLs >5 ug/dL
Papua New Guinea,2019,Male,0 to 19,57204,17069,159587,Number of people with BLLs >5 ug/dL
Papua New Guinea,2019,Female,0 to 19,46295,13528,135086,Number of people with BLLs >5 ug/dL
Samoa,2019,Male,0 to 19,1520,386,4817,Number of people with BLLs >5 ug/dL
Samoa,2019,Female,0 to 19,1078,283,3334,Number of people with BLLs >5 ug/dL
Solomon Islands,2019,Male,0 to 19,55757,16477,102573,Number of people with BLLs >5 ug/dL
