location_name,year_id,sex,age_group,mean,lower,upper,measure
Tajikistan,2019,Female,0 to 14,690115,357802,1080730,Number of people with BLLs >5 ug/dL
Turkmenistan,2019,Male,0 to 14,44387,19950,85710,Number of people with BLLs >5 ug/dL
Turkmenistan,2019,Female,0 to 14,51892,22930,100994,Number of people with BLLs >5 ug/dL
Uzbekistan,2019,Male,0 to 14,671976,317707,1292028,Number of people with BLLs >5 ug/dL
Uzbekistan,2019,Female,0 to 14,738873,340872,1440979,Number of people with BLLs >5 ug/dL
Albania,2019,Male,0 to 14,83513,39167,139815,Number of people with BLLs >5 ug/dL
Albania,2019,Female,0 to 14,49705,22486,92433,Number of people with BLLs >5 ug/dL
Bosnia and Herzegovina,2019,Male,0 to 14,41004,18345,77148,Number of people with BLLs >5 ug/dL
Bosnia and Herzegovina,2019,Female,0 to 14,32149,14532,61325,Number of people with BLLs >5 ug/dL
Bulgaria,2019,Male,0 to 14,33256,14851,65750,Number of people with BLLs >5 ug/dL
Bulgaria,2019,Female,0 to 14,21618,9865,42003,Number of people with BLLs >5 ug/dL
Croatia,2019,Male,0 to 14,13510,6253,25981,Number of people with BLLs >5 ug/dL
Croatia,2019,Female,0 to 14,9410,4962,18455,Number of people with BLLs >5 ug/dL
Czechia,2019,Male,0 to 14,35082,17052,68006,Number of people with BLLs >5 ug/dL
Czechia,2019,Female,0 to 14,21122,12516,40189,Number of people with BLLs >5 ug/dL
Hungary,2019,Male,0 to 14,52369,24619,97337,Number of people with BLLs >5 ug/dL
Hungary,2019,Female,0 to 14,34347,14908,66388,Number of people with BLLs >5 ug/dL
North Macedonia,2019,Male,0 to 14,21353,9595,40535,Number of people with BLLs >5 ug/dL
North Macedonia,2019,Female,0 to 14,16016,7384,31007,Number of people with BLLs >5 ug/dL
Montenegro,2019,Male,0 to 14,2957,1317,5601,Number of people with BLLs >5 ug/dL
Montenegro,2019,Female,0 to 14,2571,1139,4927,Number of people with BLLs >5 ug/dL
Poland,2019,Male,0 to 14,141924,65334,266936,Number of people with BLLs >5 ug/dL
Poland,2019,Female,0 to 14,85021,45979,157978,Number of people with BLLs >5 ug/dL
Romania,2019,Male,0 to 14,194232,89423,374495,Number of people with BLLs >5 ug/dL
Romania,2019,Female,0 to 14,144277,65011,285918,Number of people with BLLs >5 ug/dL
Serbia,2019,Male,0 to 14,95719,46030,183092,Number of people with BLLs >5 ug/dL
Serbia,2019,Female,0 to 14,43199,20216,80732,Number of people with BLLs >5 ug/dL
Slovakia,2019,Male,0 to 14,20028,9060,37182,Number of people with BLLs >5 ug/dL
Slovakia,2019,Female,0 to 14,13611,7133,25624,Number of people with BLLs >5 ug/dL
Slovenia,2019,Male,0 to 14,3891,2151,7199,Number of people with BLLs >5 ug/dL
Slovenia,2019,Female,0 to 14,2801,1681,4858,Number of people with BLLs >5 ug/dL
Belarus,2019,Male,0 to 14,116629,55264,227743,Number of people with BLLs >5 ug/dL
Belarus,2019,Female,0 to 14,72715,31895,140424,Number of people with BLLs >5 ug/dL
Estonia,2019,Male,0 to 14,5827,2605,11126,Number of people with BLLs >5 ug/dL
Estonia,2019,Female,0 to 14,3725,1813,7115,Number of people with BLLs >5 ug/dL
Latvia,2019,Male,0 to 14,11854,5342,23005,Number of people with BLLs >5 ug/dL
Latvia,2019,Female,0 to 14,8143,3549,16022,Number of people with BLLs >5 ug/dL
Lithuania,2019,Male,0 to 14,10955,4720,20677,Number of people with BLLs >5 ug/dL
Lithuania,2019,Female,0 to 14,7467,3586,14682,Number of people with BLLs >5 ug/dL
Republic of Moldova,2019,Male,0 to 14,96346,45083,163001,Number of people with BLLs >5 ug/dL
Republic of Moldova,2019,Female,0 to 14,73772,33818,135649,Number of people with BLLs >5 ug/dL
Russian Federation,2019,Male,0 to 14,1669358,770475,3150813,Number of people with BLLs >5 ug/dL
Russian Federation,2019,Female,0 to 14,1161473,518996,2228040,Number of people with BLLs >5 ug/dL
Ukraine,2019,Male,0 to 14,145342,67995,282111,Number of people with BLLs >5 ug/dL
Ukraine,2019,Female,0 to 14,74199,41570,140300,Number of people with BLLs >5 ug/dL
Brunei Darussalam,2019,Male,0 to 14,1323,709,2609,Number of people with BLLs >5 ug/dL
