"location_name","year_id","sex","age_group","mean","lower","upper","measure"
"China",2019,"Both","0 to 19",3.38769548758075,3.31318917628408,3.46694932302291,"Blood lead (ug/dL)"
"Democratic People's Republic of Korea",2019,"Both","0 to 19",6.63449156336754,5.97793755760753,7.43260370667926,"Blood lead (ug/dL)"
"Taiwan (Province of China)",2019,"Both","0 to 19",1.6211850616414,1.47655565071729,1.7763530989466,"Blood lead (ug/dL)"
"Cambodia",2019,"Both","0 to 19",5.26966266809223,4.72383402481395,5.930832727407,"Blood lead (ug/dL)"
"Indonesia",2019,"Both","0 to 19",3.17229669121565,3.07240075175731,3.27645452675994,"Blood lead (ug/dL)"
"Lao People's Democratic Republic",2019,"Both","0 to 19",3.78908826936608,3.3650868052765,4.22741577197262,"Blood lead (ug/dL)"
"Malaysia",2019,"Both","0 to 19",1.42543524862517,1.2796791070809,1.58839146331395,"Blood lead (ug/dL)"
"Maldives",2019,"Both","0 to 19",2.64086184634919,2.36200796543592,2.95569725710245,"Blood lead (ug/dL)"
"Myanmar",2019,"Both","0 to 19",3.99713023739477,3.57211298128287,4.47555694959088,"Blood lead (ug/dL)"
"Philippines",2019,"Both","0 to 19",4.96409656419147,4.40589406774835,5.5505175086033,"Blood lead (ug/dL)"
"Sri Lanka",2019,"Both","0 to 19",2.42155864973476,2.17453676669579,2.71729827285973,"Blood lead (ug/dL)"
"Thailand",2019,"Both","0 to 19",1.62465507668508,1.45522525253849,1.81623511817899,"Blood lead (ug/dL)"
"Timor-Leste",2019,"Both","0 to 19",4.88668492440767,4.37623325211188,5.44451871896839,"Blood lead (ug/dL)"
"Viet Nam",2019,"Both","0 to 19",3.26828342524303,2.9096348125032,3.6398872528638,"Blood lead (ug/dL)"
"Fiji",2019,"Both","0 to 19",1.42890887360948,1.28087780449915,1.60055968844548,"Blood lead (ug/dL)"
"Kiribati",2019,"Both","0 to 19",3.72639398107696,3.32442019965531,4.15201856694773,"Blood lead (ug/dL)"
"Marshall Islands",2019,"Both","0 to 19",2.48115591459171,2.20871748999995,2.76192849652888,"Blood lead (ug/dL)"
"Micronesia (Federated States of)",2019,"Both","0 to 19",2.65470878671142,2.36591129590537,2.97997198156965,"Blood lead (ug/dL)"
"Papua New Guinea",2019,"Both","0 to 19",2.22494057343071,2.00284943044918,2.4887306488634,"Blood lead (ug/dL)"
"Samoa",2019,"Both","0 to 19",2.13990465755381,1.88846330956973,2.40424789775008,"Blood lead (ug/dL)"
"Solomon Islands",2019,"Both","0 to 19",4.16032329747748,3.7122964050439,4.63164839404912,"Blood lead (ug/dL)"
"Tonga",2019,"Both","0 to 19",1.83677648884383,1.64876480760362,2.03734498711943,"Blood lead (ug/dL)"
"Vanuatu",2019,"Both","0 to 19",3.02289112375488,2.68556248758866,3.37594271120941,"Blood lead (ug/dL)"
"Armenia",2019,"Both","0 to 19",2.58968265666174,2.31526162318769,2.88465421031386,"Blood lead (ug/dL)"
"Azerbaijan",2019,"Both","0 to 19",2.35841862006841,2.10883812112893,2.63705993099378,"Blood lead (ug/dL)"
"Georgia",2019,"Both","0 to 19",2.28102472859383,2.02495590971231,2.54744598080532,"Blood lead (ug/dL)"
"Kazakhstan",2019,"Both","0 to 19",1.94033390370784,1.74388509881203,2.17641439544234,"Blood lead (ug/dL)"
"Kyrgyzstan",2019,"Both","0 to 19",3.53777214221448,3.16330493641266,3.93339949339602,"Blood lead (ug/dL)"
"Mongolia",2019,"Both","0 to 19",2.82832438266878,2.53662819604853,3.15667835214284,"Blood lead (ug/dL)"
"Tajikistan",2019,"Both","0 to 19",5.2176852341264,4.69269268899014,5.8174019341869,"Blood lead (ug/dL)"
"Turkmenistan",2019,"Both","0 to 19",2.10526881857891,1.88476022390485,2.35120542597691,"Blood lead (ug/dL)"
"Uzbekistan",2019,"Both","0 to 19",2.93487662503331,2.617378067704,3.26993762387457,"Blood lead (ug/dL)"
"Albania",2019,"Both","0 to 19",4.05749515460054,3.62695644170304,4.53471091743596,"Blood lead (ug/dL)"
"Bosnia and Herzegovina",2019,"Both","0 to 19",3.08372933716741,2.73514385916561,3.41633944821985,"Blood lead (ug/dL)"
