"location_name","year_id","sex","age_group","mean","lower","upper","measure"
"China",2019,"Male","0 to 19",3.57226939134518,3.46339013781186,3.69615675660157,"Blood lead (ug/dL)"
"China",2019,"Female","0 to 19",3.1721763929672,3.06540649528111,3.28036782254045,"Blood lead (ug/dL)"
"Democratic People's Republic of Korea",2019,"Male","0 to 19",7.21885081249822,6.14391175497652,8.40857992985413,"Blood lead (ug/dL)"
"Democratic People's Republic of Korea",2019,"Female","0 to 19",6.02176107975614,5.17871023434695,7.06301706341479,"Blood lead (ug/dL)"
"Taiwan (Province of China)",2019,"Male","0 to 19",1.8787785531239,1.65660836422826,2.11905023876692,"Blood lead (ug/dL)"
"Taiwan (Province of China)",2019,"Female","0 to 19",1.34183405941384,1.16300433388468,1.53772760860499,"Blood lead (ug/dL)"
"Cambodia",2019,"Male","0 to 19",5.67809011022127,4.86375181892857,6.64905764726308,"Blood lead (ug/dL)"
"Cambodia",2019,"Female","0 to 19",4.84001772360343,4.15131524949268,5.67471642981581,"Blood lead (ug/dL)"
"Indonesia",2019,"Male","0 to 19",3.36622403741164,3.21308050423676,3.5277905706504,"Blood lead (ug/dL)"
"Indonesia",2019,"Female","0 to 19",2.96807047418112,2.83934156350731,3.10762519036838,"Blood lead (ug/dL)"
"Lao People's Democratic Republic",2019,"Male","0 to 19",3.96538892294545,3.39733136107041,4.62152936886842,"Blood lead (ug/dL)"
"Lao People's Democratic Republic",2019,"Female","0 to 19",3.60725274016213,3.03952411781331,4.18847558692309,"Blood lead (ug/dL)"
"Malaysia",2019,"Male","0 to 19",1.48450075138967,1.27447370425382,1.72856840600744,"Blood lead (ug/dL)"
"Malaysia",2019,"Female","0 to 19",1.36285305800035,1.16053855294475,1.59618728718778,"Blood lead (ug/dL)"
"Maldives",2019,"Male","0 to 19",2.79860282864786,2.38621916808117,3.28040193623095,"Blood lead (ug/dL)"
"Maldives",2019,"Female","0 to 19",2.46985052199618,2.12998849129779,2.85126339000822,"Blood lead (ug/dL)"
"Myanmar",2019,"Male","0 to 19",4.26026460010404,3.60912138081331,4.98426692400344,"Blood lead (ug/dL)"
"Myanmar",2019,"Female","0 to 19",3.72749873265594,3.17668592649466,4.3367417770016,"Blood lead (ug/dL)"
"Philippines",2019,"Male","0 to 19",5.60990064533714,4.76223288079542,6.54205662661496,"Blood lead (ug/dL)"
"Philippines",2019,"Female","0 to 19",4.27710233183175,3.59917528298545,4.9920147990854,"Blood lead (ug/dL)"
"Sri Lanka",2019,"Male","0 to 19",2.64718489904036,2.27968638859497,3.07026603148292,"Blood lead (ug/dL)"
"Sri Lanka",2019,"Female","0 to 19",2.18997373812477,1.86787321606885,2.54639487358004,"Blood lead (ug/dL)"
"Thailand",2019,"Male","0 to 19",1.83102430801226,1.5715926160541,2.13515113089291,"Blood lead (ug/dL)"
"Thailand",2019,"Female","0 to 19",1.40774505586553,1.19607586286922,1.64453621660655,"Blood lead (ug/dL)"
"Timor-Leste",2019,"Male","0 to 19",5.12449409507461,4.37897870017967,5.9835607551474,"Blood lead (ug/dL)"
"Timor-Leste",2019,"Female","0 to 19",4.63520803585274,3.96490725958137,5.42029475656963,"Blood lead (ug/dL)"
"Viet Nam",2019,"Male","0 to 19",3.5817509861034,3.02680116304947,4.1948200935273,"Blood lead (ug/dL)"
"Viet Nam",2019,"Female","0 to 19",2.93142188229868,2.51482482472475,3.42718538867544,"Blood lead (ug/dL)"
"Fiji",2019,"Male","0 to 19",1.4634649001212,1.23894199513713,1.70676815710498,"Blood lead (ug/dL)"
"Fiji",2019,"Female","0 to 19",1.39259235494715,1.19130624708173,1.62711244328449,"Blood lead (ug/dL)"
"Kiribati",2019,"Male","0 to 19",4.06263982493019,3.45356558709323,4.71974219321291,"Blood lead (ug/dL)"
"Kiribati",2019,"Female","0 to 19",3.37530104708622,2.87997059921308,3.94034464963954,"Blood lead (ug/dL)"
"Marshall Islands",2019,"Male","0 to 19",2.60031628622688,2.21407598215572,3.03935313793352,"Blood lead (ug/dL)"
"Marshall Islands",2019,"Female","0 to 19",2.35716967429067,2.00002434340888,2.75031420110561,"Blood lead (ug/dL)"
"Micronesia (Federated States of)",2019,"Male","0 to 19",2.97309036722897,2.55150562471808,3.45517740950283,"Blood lead (ug/dL)"
"Micronesia (Federated States of)",2019,"Female","0 to 19",2.31695931688584,1.95661785714226,2.73345693242171,"Blood lead (ug/dL)"
"Papua New Guinea",2019,"Male","0 to 19",2.26656971260847,1.95189273951839,2.63837701224007,"Blood lead (ug/dL)"
"Papua New Guinea",2019,"Female","0 to 19",2.17915303128942,1.85335747677886,2.56096228852196,"Blood lead (ug/dL)"
"Samoa",2019,"Male","0 to 19",2.27093724609564,1.92264733290669,2.65415038255385,"Blood lead (ug/dL)"
"Samoa",2019,"Female","0 to 19",1.99911290565848,1.69142363738644,2.34117758343236,"Blood lead (ug/dL)"
"Solomon Islands",2019,"Male","0 to 19",4.43688826316705,3.7687941162083,5.18356497930067,"Blood lead (ug/dL)"
"Solomon Islands",2019,"Female","0 to 19",3.86078589501457,3.26437923209056,4.52747757809664,"Blood lead (ug/dL)"
"Tonga",2019,"Male","0 to 19",1.89450498174948,1.62042432534323,2.19343022735003,"Blood lead (ug/dL)"
"Tonga",2019,"Female","0 to 19",1.77442438742771,1.52378283859986,2.07806552085643,"Blood lead (ug/dL)"
"Vanuatu",2019,"Male","0 to 19",3.10252677422198,2.64489504603659,3.6140719238218,"Blood lead (ug/dL)"
"Vanuatu",2019,"Female","0 to 19",2.93830166406193,2.49154591089436,3.42388598922838,"Blood lead (ug/dL)"
"Armenia",2019,"Male","0 to 19",2.54269713886443,2.15828806255349,2.95397018597781,"Blood lead (ug/dL)"
"Armenia",2019,"Female","0 to 19",2.64323202063783,2.27187662253255,3.07244315136174,"Blood lead (ug/dL)"
"Azerbaijan",2019,"Male","0 to 19",2.31716659279459,1.95921022265342,2.70055517636205,"Blood lead (ug/dL)"
"Azerbaijan",2019,"Female","0 to 19",2.40568070159598,2.05544340038202,2.80930863212098,"Blood lead (ug/dL)"
"Georgia",2019,"Male","0 to 19",2.25888322215931,1.92818165917445,2.64614006047295,"Blood lead (ug/dL)"
"Georgia",2019,"Female","0 to 19",2.3055376788581,1.95637536313116,2.69733804040238,"Blood lead (ug/dL)"
"Kazakhstan",2019,"Male","0 to 19",1.89593086878012,1.64107175125277,2.19632278108277,"Blood lead (ug/dL)"
"Kazakhstan",2019,"Female","0 to 19",1.9868800398683,1.69616495130042,2.31937213230343,"Blood lead (ug/dL)"
"Kyrgyzstan",2019,"Male","0 to 19",3.50782925448519,2.97850474235826,4.09173169954603,"Blood lead (ug/dL)"
"Kyrgyzstan",2019,"Female","0 to 19",3.56915560055803,3.03451896104249,4.16017482365086,"Blood lead (ug/dL)"
"Mongolia",2019,"Male","0 to 19",2.79126485825888,2.38316192803543,3.2421633921569,"Blood lead (ug/dL)"
"Mongolia",2019,"Female","0 to 19",2.86681902944477,2.41037833806193,3.32619033997782,"Blood lead (ug/dL)"
"Tajikistan",2019,"Male","0 to 19",5.25979374624478,4.48628593875871,6.15628408448071,"Blood lead (ug/dL)"
"Tajikistan",2019,"Female","0 to 19",5.17306591983884,4.40791482201852,5.9884353243772,"Blood lead (ug/dL)"
"Turkmenistan",2019,"Male","0 to 19",2.01768234827462,1.72163622128934,2.34992211040752,"Blood lead (ug/dL)"
"Turkmenistan",2019,"Female","0 to 19",2.19946850243184,1.89641584052072,2.552311590252,"Blood lead (ug/dL)"
"Uzbekistan",2019,"Male","0 to 19",2.8435109130851,2.42485274307452,3.3216060562512,"Blood lead (ug/dL)"
"Uzbekistan",2019,"Female","0 to 19",3.03206253361678,2.5865176448153,3.50189160828796,"Blood lead (ug/dL)"
"Albania",2019,"Male","0 to 19",4.47004503039698,3.81900119133908,5.18689699779381,"Blood lead (ug/dL)"
"Albania",2019,"Female","0 to 19",3.60389647660126,3.08013605668013,4.19213946965169,"Blood lead (ug/dL)"
"Bosnia and Herzegovina",2019,"Male","0 to 19",3.22175201720603,2.73397116611766,3.71762884877025,"Blood lead (ug/dL)"
"Bosnia and Herzegovina",2019,"Female","0 to 19",2.93812269952878,2.5293801232205,3.41847110420863,"Blood lead (ug/dL)"
"Bulgaria",2019,"Male","0 to 19",2.13168871866559,1.81066211801197,2.51031014783052,"Blood lead (ug/dL)"
"Bulgaria",2019,"Female","0 to 19",1.78823603613229,1.51830336237576,2.06511298975944,"Blood lead (ug/dL)"
"Croatia",2019,"Male","0 to 19",1.77214406298349,1.50926725338739,2.05471018488964,"Blood lead (ug/dL)"
"Croatia",2019,"Female","0 to 19",1.54172521104722,1.32046491943652,1.80154037003743,"Blood lead (ug/dL)"
"Czechia",2019,"Male","0 to 19",1.77163092609965,1.51700009871435,2.06243377010366,"Blood lead (ug/dL)"
"Czechia",2019,"Female","0 to 19",1.41243049870317,1.21482764838917,1.63664450627179,"Blood lead (ug/dL)"
"Hungary",2019,"Male","0 to 19",2.18883464611192,1.86048122147264,2.53514351861349,"Blood lead (ug/dL)"
"Hungary",2019,"Female","0 to 19",1.78378299082093,1.50415603105589,2.07959687510477,"Blood lead (ug/dL)"
"North Macedonia",2019,"Male","0 to 19",2.77617925397597,2.37448511304383,3.20081726786872,"Blood lead (ug/dL)"
"North Macedonia",2019,"Female","0 to 19",2.50084554265568,2.12705916410774,2.91883731485914,"Blood lead (ug/dL)"
"Montenegro",2019,"Male","0 to 19",1.92045866936371,1.65487322779259,2.22838314784111,"Blood lead (ug/dL)"
"Montenegro",2019,"Female","0 to 19",1.8509695919124,1.5981726006086,2.13622947856772,"Blood lead (ug/dL)"
"Poland",2019,"Male","0 to 19",1.79859490512914,1.54925638584175,2.10387950559573,"Blood lead (ug/dL)"
"Poland",2019,"Female","0 to 19",1.44979896839726,1.2464432419612,1.68058205355854,"Blood lead (ug/dL)"
"Romania",2019,"Male","0 to 19",2.77675203280502,2.37975748132958,3.26893093141383,"Blood lead (ug/dL)"
"Romania",2019,"Female","0 to 19",2.46565284313114,2.11475980916222,2.86077533077803,"Blood lead (ug/dL)"
"Serbia",2019,"Male","0 to 19",2.70805434272265,2.32859658414035,3.17605008723351,"Blood lead (ug/dL)"
